,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia
65,408880.0,1,8.0,3,miejskie,,parter,53.8,apartamentowiec,2019.0,pierwotny,do_wykonczenia
66,935000.0,1,,5,miejskie,,,131.68,apartamentowiec,,pierwotny,do_wykonczenia
67,279000.0,1,4.0,4,miejskie,,4,56.0,blok,,wtorny,do_zamieszkania
68,610100.0,1,1.0,4,inne,,1,106.01,,2018.0,pierwotny,do_wykonczenia
69,316747.5,1,8.0,2,miejskie,,4,40.35,apartamentowiec,2019.0,pierwotny,do_wykonczenia
70,394950.0,1,5.0,3,miejskie,,parter,75.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
71,301407.0,1,5.0,2,miejskie,,5,46.38,apartamentowiec,2019.0,pierwotny,do_wykonczenia
72,190000.0,0,1.0,3,inne,plastikowe,parter,109.36,kamienica,1919.0,wtorny,do_remontu
73,205800.0,1,10.0,2,miejskie,,4,37.45,apartamentowiec,2019.0,pierwotny,do_wykonczenia
74,490000.0,0,4.0,4,elektryczne,plastikowe,2,106.0,blok,2002.0,wtorny,do_zamieszkania
75,265000.0,0,3.0,2,miejskie,plastikowe,1,38.0,apartamentowiec,2016.0,wtorny,do_zamieszkania
76,280000.0,1,2.0,2,miejskie,plastikowe,2,50.0,blok,,wtorny,do_remontu
77,301600.0,1,10.0,3,miejskie,plastikowe,5,52.0,apartamentowiec,,pierwotny,do_wykonczenia
78,243788.0,1,10.0,2,miejskie,plastikowe,5,41.32,apartamentowiec,,pierwotny,do_wykonczenia
79,239076.0,1,10.0,2,miejskie,plastikowe,5,41.22,apartamentowiec,,pierwotny,do_wykonczenia
80,217495.0,1,5.0,2,miejskie,,parter,43.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
81,301799.0,1,5.0,3,miejskie,,parter,63.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
82,369300.0,1,7.0,2,miejskie,aluminiowe,3,36.93,apartamentowiec,2021.0,pierwotny,do_wykonczenia
83,258448.0,1,10.0,3,miejskie,plastikowe,5,44.56,apartamentowiec,,pierwotny,do_wykonczenia
84,341100.0,1,7.0,1,miejskie,aluminiowe,2,34.11,apartamentowiec,2021.0,pierwotny,do_wykonczenia
85,190205.0,1,5.0,2,miejskie,,parter,38.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
86,292784.0,1,10.0,3,miejskie,plastikowe,5,50.48,apartamentowiec,,pierwotny,do_wykonczenia
87,296100.0,1,11.0,3,,,8,63.0,blok,1980.0,wtorny,
88,495000.0,1,4.0,4,,,2,88.0,,,wtorny,
89,328100.0,1,7.0,1,miejskie,aluminiowe,2,32.81,apartamentowiec,2021.0,pierwotny,do_wykonczenia
90,299000.0,1,10.0,4,,plastikowe,3,46.8,blok,1980.0,wtorny,
91,214000.0,1,4.0,2,miejskie,,3,39.0,blok,,wtorny,do_zamieszkania
92,550000.0,0,2.0,4,gazowe,plastikowe,1,93.0,,,wtorny,
93,319000.0,1,4.0,2,miejskie,plastikowe,1,56.0,blok,1960.0,wtorny,do_remontu
94,289000.0,0,4.0,3,miejskie,drewniane,4,55.3,blok,1970.0,wtorny,
95,210000.0,0,4.0,2,miejskie,,parter,47.3,blok,1980.0,wtorny,do_remontu
96,479000.0,1,4.0,4,miejskie,plastikowe,4,103.0,blok,1990.0,wtorny,do_zamieszkania
97,277500.0,1,5.0,2,miejskie,plastikowe,parter,51.5,apartamentowiec,,pierwotny,
98,413672.0,1,6.0,2,miejskie,,3,49.84,apartamentowiec,2020.0,pierwotny,
99,273540.0,1,6.0,1,miejskie,,3,28.2,apartamentowiec,2019.0,pierwotny,
100,258500.0,1,5.0,2,miejskie,plastikowe,2,46.61,,,pierwotny,
101,344506.5,1,2.0,3,,,parter,58.89,blok,,pierwotny,
102,369900.0,1,3.0,4,miejskie,,1,72.5,blok,,wtorny,do_zamieszkania
103,369300.0,1,7.0,2,miejskie,aluminiowe,4,36.93,apartamentowiec,2021.0,pierwotny,do_wykonczenia
104,213150.0,1,10.0,2,miejskie,,1,36.75,blok,2018.0,pierwotny,do_wykonczenia
105,264069.0,1,2.0,2,,,parter,45.14,blok,,pierwotny,
106,264069.0,1,2.0,2,,,parter,45.14,blok,,pierwotny,
107,264069.0,1,2.0,2,,,parter,45.14,blok,,pierwotny,
108,249054.0,1,10.0,2,miejskie,plastikowe,5,40.17,apartamentowiec,,pierwotny,do_wykonczenia
109,250527.0,1,2.0,2,,,parter,45.14,blok,,pierwotny,
110,258912.0,1,10.0,3,miejskie,plastikowe,5,44.64,apartamentowiec,,pierwotny,do_wykonczenia
111,280098.0,1,10.0,3,miejskie,plastikowe,5,49.14,apartamentowiec,,pierwotny,do_wykonczenia
112,466749.0,1,2.0,4,,,parter,79.11,blok,,pierwotny,
113,156000.0,1,2.0,2,kotlownia,plastikowe,2,52.0,,,wtorny,
