,cena,cena_za_od,czynsz,dostepne_od,forma_wlasnosci,liczba_kondygnacji,liczba_pieter,liczba_pokoi,material_budynku,metraz_do,metraz_od,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_inwestycji,stan_wykonczenia,typ_oferowanych_nieruchomosci,url
24,330000.0,,700.0,,pelna_wlasnosc,,4,3,cegla,,,,plastikowe,2,66.0,blok,,wtorny,,do_remontu,,https://www.otodom.pl/oferta/mieszkanie-66-m-katowice-ID3YwXq.html#7856e860dd
25,216500.0,,,,pelna_wlasnosc,,10,2,pustak,,,miejskie,plastikowe,10,37.0,apartamentowiec,,pierwotny,,,,https://www.otodom.pl/oferta/mini-apartament-nowosc-tereny-rekreacyjne-0-pcc-ID3Yj04.html#7856e860dd
26,249000.0,,180.0,,pelna_wlasnosc,,,3,,,,elektryczne,plastikowe,,42.0,kamienica,,wtorny,,,,https://www.otodom.pl/oferta/katowice-zaleze-ul-wisniowa-3-pokoje-umeblowane-ID3Yvi8.html#7856e860dd
27,530000.0,,350.0,,,,2,3,,,,gazowe,plastikowe,parter,67.81,blok,2012,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-ligota-panewniki-z-ogrodem-ID3YwU0.html#7856e860dd
28,229999.0,,250.0,,pelna_wlasnosc,,18,2,inne,,,miejskie,plastikowe,&gt;_10,51.0,blok,1978,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/katowice-osiedle-tysiaclecia-15-pietro-ID3Yvsv.html#7856e860dd
29,497000.0,,550.0,,pelna_wlasnosc,,11,3,,,,miejskie,plastikowe,6,65.5,apartamentowiec,2014,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/komfortowe-mieszkanie-na-debowych-tarasach-ID3YwRG.html#7856e860dd
30,295000.0,,500.0,,spoldzielcze_wl._z_kw,,10,3,beton,,,miejskie,plastikowe,8,61.0,blok,1979,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/m-4-katowice-os-witosa-ID3Yx44.html#7856e860dd
31,209884.0,,,,pelna_wlasnosc,,5,1,pustak,,,miejskie,plastikowe,3,30.64,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/kawalerka-z-gwarantowanym-najmem-ID3YvXG.html#7856e860dd
32,294640.0,,,,pelna_wlasnosc,,10,3,,,,miejskie,,7,50.8,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/50m2-nowa-inwestycja-w-prestizowej-dzielnicy-ID3YuQc.html#7856e860dd
33,3614125.0,,,,pelna_wlasnosc,,7,1,,,,,,2,35.59,,2021,pierwotny,,,,https://www.otodom.pl/oferta/funkcjonalne-studio-w-srodmiesciu-ul-opolska-ID3WZ5m.html#d749d73d2a
