,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,okna,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia,cena_mkw_PLN
92,319000.0,1,1,2,1,56.0,2,3,2,3,5696.428571428572
93,289000.0,0,1,3,2,55.3,2,3,2,0,5226.039783001808
94,210000.0,0,1,2,0,47.3,2,2,2,3,4439.746300211416
95,479000.0,1,1,4,1,103.0,2,2,2,2,4650.485436893204
96,277500.0,1,1,2,1,51.5,1,1,1,0,5388.349514563107
97,413672.0,1,2,2,0,49.84,1,1,1,0,8300.0
98,273540.0,1,2,1,0,28.2,1,1,1,0,9700.0
99,258500.0,1,1,2,1,46.61,0,1,1,0,5546.020167346063
100,344506.5,1,1,3,0,58.89,2,1,1,0,5850.0
101,369900.0,1,1,4,0,72.5,2,3,2,2,5102.068965517241
102,369300.0,1,2,2,2,36.93,1,1,1,1,10000.0
103,213150.0,1,2,2,0,36.75,2,1,1,1,5800.0
104,264069.0,1,1,2,0,45.14,2,1,1,0,5850.0
105,264069.0,1,1,2,0,45.14,2,1,1,0,5850.0
106,264069.0,1,1,2,0,45.14,2,1,1,0,5850.0
107,249054.0,1,2,2,1,40.17,1,1,1,1,6200.0
108,250527.0,1,1,2,0,45.14,2,1,1,0,5550.0
109,258912.0,1,2,3,1,44.64,1,1,1,1,5800.0
110,280098.0,1,2,3,1,49.14,1,1,1,1,5700.0
111,466749.0,1,1,4,0,79.11,2,1,1,0,5900.0
112,156000.0,1,1,2,1,52.0,0,3,2,0,3000.0
113,279000.0,1,1,4,1,74.0,2,3,2,3,3770.2702702702704
114,224500.0,0,1,2,1,50.68,2,3,2,2,4429.755327545383
115,240000.0,0,2,2,1,42.02,2,3,2,3,5711.565920990004
116,229632.0,1,2,2,1,35.88,1,1,1,1,6399.999999999999
117,229632.0,1,2,2,1,35.88,1,1,1,1,6399.999999999999
118,247500.0,1,2,3,1,62.44,2,2,2,2,3963.8052530429213
119,248248.0,1,2,2,1,40.04,1,1,1,1,6200.0
120,259555.0,1,1,2,0,45.14,2,1,1,0,5750.0
121,525028.0,1,1,4,0,88.24,2,1,1,0,5950.0
122,245000.0,1,3,2,1,53.7,2,3,2,3,4562.383612662942
123,299000.0,0,2,3,0,51.5,2,3,2,2,5805.825242718447
124,723633.0,1,2,4,0,77.81,0,1,1,0,9300.0
125,380000.0,1,1,4,0,104.0,0,3,2,0,3653.846153846154
126,490000.0,1,1,4,0,106.0,2,2,2,2,4622.641509433963
127,699000.0,1,1,5,2,200.0,3,5,2,3,3495.0
128,540000.0,1,1,5,2,135.0,0,3,2,3,4000.0
129,324885.0,1,2,3,0,59.07,1,1,1,1,5500.0
130,394200.0,1,1,3,1,72.0,1,1,1,0,5475.0
131,145000.0,0,2,1,1,25.5,2,3,2,0,5686.274509803921
132,324885.0,1,2,4,0,59.0,2,1,1,1,5506.525423728814
133,230000.0,1,1,3,0,48.0,0,3,2,0,4791.666666666667
134,240624.0,1,2,3,0,44.56,2,1,1,1,5400.0
135,275500.0,1,1,3,1,63.0,2,3,2,0,4373.015873015873
136,289000.0,0,2,3,1,52.1,2,3,2,0,5547.024952015355
137,280147.0,1,1,2,0,45.99,2,1,1,1,6091.4764079147635
138,299000.0,1,1,2,1,59.15,3,5,2,3,5054.945054945055
139,305220.0,1,1,3,1,50.87,1,1,1,1,6000.0
140,215280.0,1,2,2,0,36.0,2,1,1,1,5980.0
141,281000.0,1,1,2,0,46.3,2,1,1,1,6069.114470842333
142,290000.0,1,2,3,0,57.0,2,3,2,0,5087.7192982456145
143,139000.0,0,2,1,1,31.72,0,3,2,0,4382.0933165195465
144,265000.0,1,3,3,1,58.0,2,3,2,1,4568.9655172413795
145,235000.0,1,1,3,1,46.48,2,3,2,2,5055.938037865749
146,247442.0,1,1,2,1,39.91,1,1,1,1,6200.000000000001
147,307044.0,1,1,2,0,41.65,2,1,1,0,7372.004801920769
148,271000.0,1,1,2,0,45.2,2,1,1,1,5995.575221238938
149,320233.0,1,1,3,0,51.99,2,1,1,0,6159.511444508559
150,268299.0,1,1,3,0,44.79,2,1,1,0,5990.1540522438045
151,275000.0,0,1,2,0,45.9,2,3,2,0,5991.285403050109
152,328016.0,1,1,3,1,63.08,1,1,1,1,5200.0
153,330000.0,1,3,2,1,53.0,2,3,2,0,6226.415094339623
154,247104.0,1,1,2,1,47.52,1,1,1,1,5200.0
155,370000.0,0,3,3,1,59.0,2,3,2,2,6271.186440677966
156,970000.0,1,1,5,1,136.5,1,1,1,1,7106.227106227107
157,290500.0,1,1,2,0,51.42,1,1,1,1,5649.552703228315
158,270565.0,1,2,3,0,49.0,2,1,1,1,5521.734693877551
159,400368.0,1,1,3,0,70.24,2,1,1,1,5700.0
160,521136.0,1,2,3,0,55.44,0,1,1,0,9400.0
161,273418.0,1,2,3,0,50.47,2,1,1,1,5417.436100653854
162,89000.0,0,2,1,1,16.1,2,2,2,2,5527.950310559006
163,281626.0,1,2,3,0,52.0,2,1,1,1,5415.884615384615
164,223020.0,1,2,2,0,41.0,2,1,2,1,5439.512195121952
165,316904.0,1,2,2,1,40.37,1,1,1,1,7849.9876145652715
166,382000.0,0,2,3,1,66.0,2,3,2,0,5787.878787878788
167,304900.0,1,1,2,1,61.19,2,3,2,1,4982.840333387809
168,213000.0,1,2,2,0,36.5,2,1,1,1,5835.6164383561645
169,320705.0,1,2,2,1,41.65,1,1,1,1,7700.0
170,333645.0,1,2,2,1,46.02,1,1,1,1,7249.999999999999
171,290823.0,1,1,2,0,47.48,2,1,1,1,6125.16849199663
172,375000.0,0,3,3,0,72.0,2,3,2,2,5208.333333333333
173,650370.0,1,1,4,0,92.91,1,1,1,1,7000.0
174,273418.0,1,2,3,0,50.47,2,1,1,1,5417.436100653854
175,318370.0,1,2,2,1,40.3,1,1,1,1,7900.000000000001
176,470000.0,1,1,5,0,160.0,3,5,2,3,2937.5
177,228000.0,1,1,2,1,41.29,1,1,2,1,5521.918139985469
178,349999.0,0,1,3,0,58.7,2,2,2,2,5962.504258943782
179,605190.0,1,1,4,0,103.0,0,1,1,0,5875.631067961165
180,278999.0,1,2,4,1,75.0,2,3,2,2,3719.9866666666667
181,365000.0,1,2,4,1,74.0,2,2,2,0,4932.4324324324325
